Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number,Plus_Code,Plus_Code_Compound,Plus_Code_Global
"C1. Flower Bazaar Police station,chennai tamil nadu","Ok, partial match","37QJ+8MW, Rattan Bazaar Rd, Rattan Bazaar, George Town, Chennai, Tamil Nadu 600001, India",13.0883724,80.2817022,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Rattan Bazaar Road,600001,Chennai,India,Tamil Nadu,,,,,
"C2. Elephant Gate Police station,chennai tamil nadu","Ok, partial match","37VG+337, Near Elephant Gate Bridge, Adhi Andra Colony, George Town, Chennai, Tamil Nadu 600108, India",13.0926736,80.275157,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600108,Chennai,India,Tamil Nadu,,,,,
"C3. Seven Wells Police station,chennai tamil nadu","Ok, partial match","145, Amman Koil Street, Amman Koil North, George Town, Maskan Chavadi, Amman Koil North, George Town, Chennai, Tamil Nadu 600001, India",13.0988712,80.2816759,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600001,Chennai,India,Tamil Nadu,,,37XJ+GM,"37XJ+GM Chennai, Tamil Nadu, India",7M5237XJ+GM
"C4 Govt.Hospital Police station,chennai tamil nadu","2 found, use single geocode.","45, Adithanar Rd, Pudupet, Egmore, Chennai, Tamil Nadu 600002, India",13.068907,80.2671759,"establishment, health, hospital, point_of_interest",ROOFTOP,45,Adithanar Road,600002,Chennai,India,Tamil Nadu,,,3798+HV,"3798+HV Chennai, Tamil Nadu, India",7M523798+HV
"B2 Esplanade Police station,chennai tamil nadu","Ok, partial match","37PP+P24, Esplanade Rd, Near High Court Parrys, Parrys, George Town, Chennai, Tamil Nadu 600108, India",13.0867502,80.2850751,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Esplanade Road,600108,Chennai,India,Tamil Nadu,,,,,
"B4 High Court Police station,chennai tamil nadu","Ok, partial match","Esplanade Rd, Parrys, George Town, Chennai, Tamil Nadu 600104, India",13.0872131,80.2850952,"establishment, point_of_interest",GEOMETRIC_CENTER,,Esplanade Road,600104,Chennai,India,Tamil Nadu,,,37PP+V2,"37PP+V2 Chennai, Tamil Nadu, India",7M5237PP+V2
"B5. Harbour Police station,chennai tamil nadu","2 found, use single geocode.","Number 12, jail street, Broadway Rd, Mannadi, George Town, Chennai, Tamil Nadu 600001, India",13.0962328,80.2864936,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Broadway Road,600001,Chennai,India,Tamil Nadu,,,37WP+FH,"37WP+FH Chennai, Tamil Nadu, India",7M5237WP+FH
"B1. North Beach Police station,chennai tamil nadu","Ok, partial match","North, 37QR+X54, Beach Rd, Parrys, George Town, Chennai, Tamil Nadu 600001, India",13.089882,80.2904675,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Beach Road,600001,Chennai,India,Tamil Nadu,,,,,
"B3. Fort Police station,chennai tamil nadu","Ok, partial match","Chennai, Tamil Nadu, India",13.0826802,80.2707184,"locality, political",APPROXIMATE,,,,Chennai,India,Tamil Nadu,,,,,
"N3. Muthialpet Police station,chennai tamil nadu","Ok, partial match","12, Broadway Rd, near N 3 POLICE STATION, Muthialpet, George Town, Chennai, Tamil Nadu 600108, India",13.0998285,80.2868861,"establishment, point_of_interest, police",ROOFTOP,12,Broadway Road,600108,Chennai,India,Tamil Nadu,,,37XP+WQ,"37XP+WQ Chennai, Tamil Nadu, India",7M5237XP+WQ
"C5. Kothavalchavadi Police station,chennai tamil nadu","Ok, partial match","Kothwal Chavadi, George Town, Chennai, Tamil Nadu 600001, India",13.0933489,80.2843962,"political, sublocality, sublocality_level_2",APPROXIMATE,,,600001,Chennai,India,Tamil Nadu,,,,,
"Port Marine Police station,chennai tamil nadu","Ok, partial match","Chennai, Tamil Nadu, India",13.0826802,80.2707184,"locality, political",APPROXIMATE,,,,Chennai,India,Tamil Nadu,,,,,
"H1. Washermenpet Police station,chennai tamil nadu","Ok, partial match","No.28,T.H.Road, Old Washermanpet, Basin Bridge, Kathibada, Chennai, Tamil Nadu 600021, India",13.1086282,80.280616,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600021,Chennai,India,Tamil Nadu,,,475J+F6,"475J+F6 Chennai, Tamil Nadu, India",7M52475J+F6
"H3. Tondiarpet Police station,chennai tamil nadu","Ok, partial match","608, Thiruvottiyur High Rd, Korukkupet, Tondiarpet, Chennai, Tamil Nadu 600081, India",13.1233037,80.2873248,"establishment, point_of_interest, police",ROOFTOP,,Thiruvottiyur High Road,600081,Chennai,India,Tamil Nadu,,,47FP+8W,"47FP+8W Chennai, Tamil Nadu, India",7M5247FP+8W
"H4. Korukkupet Police station,chennai tamil nadu","Ok, partial match","479H+2XX, Mannappa St, Meenambal Nagar, Kumaraswami Nagar, Old Washermanpet, Chennai, Tamil Nadu 600021, India",13.1176027,80.2799883,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Mannappa Street,600021,Chennai,India,Tamil Nadu,,,,,
"H6. R.K. Nagar Police station,chennai tamil nadu","Ok, partial match","47FG+QRH, Ennore High Rd, RK Nagar, Gopal Nagar, Old Washermanpet, Chennai, Tamil Nadu 600021, India",13.1244264,80.2771183,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Ennore High Road,600021,Chennai,India,Tamil Nadu,,,,,
"H2. Stanley Hospital Police station,chennai tamil nadu","Ok, partial match","Stanley Hospital, Old Jail Rd, Seven Wells North, Old Washermanpet, Chennai, Tamil Nadu 600001, India",13.1054579,80.2825334,"establishment, point_of_interest, transit_station",GEOMETRIC_CENTER,,Old Jail Road,600001,Chennai,India,Tamil Nadu,,,474M+52,"474M+52 Chennai, Tamil Nadu, India",7M52474M+52
"H8. Thiruvottiyur Police station,chennai tamil nadu","Ok, partial match","8th Street, Thiruvottiyur High Rd, Sbi Colony, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1540069,80.3008227,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Thiruvottiyur High Road,600019,Chennai,India,Tamil Nadu,,,5832+J8,"5832+J8 Chennai, Tamil Nadu, India",7M525832+J8
"H7. Peripheral Hospital Police station,chennai tamil nadu","Ok, partial match","36W9+7MV, 3rd Ave, Annai Sathya Nagar, Anna Nagar, Chennai, Tamil Nadu 600102, India",13.095736,80.2191814,"establishment, health, hospital, point_of_interest",GEOMETRIC_CENTER,,3rd Avenue,600102,Chennai,India,Tamil Nadu,,,,,
"H5. New Washermenpet Police station,chennai tamil nadu","2 found, use single geocode.","47QV+QVP, Thiruvottiyur High Rd, Thangal, Vasantha Nagar, Tondiarpet, Chennai, Tamil Nadu 600081, India",13.1394516,80.2947123,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Thiruvottiyur High Road,600081,Chennai,India,Tamil Nadu,,,,,
"N1. Royapuram Police station,chennai tamil nadu","Ok, partial match","46, 57, Arathoon Rd, Pudumanaikuppam, Royapuram, Chennai, Tamil Nadu 600013, India",13.1113282,80.2936028,"establishment, point_of_interest, police",ROOFTOP,57,Arathoon Road,600013,Chennai,India,Tamil Nadu,,,476V+GC,"476V+GC Chennai, Tamil Nadu, India",7M52476V+GC
"N2. Kasimedu Police station,chennai tamil nadu","Ok, partial match","Kasimedu Police Station, SH 114, Kamaraj Nagar, Royapuram, Chennai, Tamil Nadu 600081, India",13.120907,80.29358,"bus_station, establishment, point_of_interest, transit_station",GEOMETRIC_CENTER,,State Highway 114,600081,Chennai,India,Tamil Nadu,,,47CV+9C,"47CV+9C Chennai, Tamil Nadu, India",7M5247CV+9C
"N4. Fishing Harbour Police station,chennai tamil nadu","Ok, partial match","1, Surya Narayana St, Tiruchinna Kuppam, Tondiarpet, Chennai, Tamil Nadu 600081, India",13.1338906,80.2988164,"establishment, food, point_of_interest",ROOFTOP,1,Surya Narayana Street,600081,Chennai,India,Tamil Nadu,,,47MX+HG,"47MX+HG Chennai, Tamil Nadu, India",7M5247MX+HG
"M1. Madhavaram Police station,chennai tamil nadu","Ok, partial match","Madhavaram High Road, 46JQ+H52, Kanakan Chatram, Ponniammanmedu, Thiruvallur, Chennai, Tamil Nadu 600110, India",13.1313801,80.237884,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600110,Thiruvallur,India,Tamil Nadu,,,,,
"M2. Milk Colony Police station,chennai tamil nadu","Ok, partial match","46WQ+CR9, Kumarappapuram, Madhavaram, Chennai, Tamil Nadu 600060, India",13.1460465,80.2396096,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600060,Chennai,India,Tamil Nadu,,,,,
"M3. Puzhal Police station,chennai tamil nadu","Ok, partial match","5663+24V, NH16, New Central Jail, Puzhal, Chennai, Tamil Nadu 600066, India",13.1601194,80.2027944,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,National Highway 16,600066,Chennai,India,Tamil Nadu,,,,,
"M4. Redhills Police station,chennai tamil nadu","Ok, partial match","No.1, 172A, GNT Rd, Red Hills, Padianallur, Tamil Nadu 600052, India",13.1916943,80.1851867,"establishment, point_of_interest, police",ROOFTOP,172A,GNT Road,600052,Padianallur,India,Tamil Nadu,,,55RP+M3,"55RP+M3 Padianallur, Tamil Nadu, India",7M5255RP+M3
"M5. Ennore Police station,chennai tamil nadu","Ok, partial match","Kathivakkam High Road, 6858+HG9, Ashok Leyland Area, Ennore, Ashok Leyland Area, Chennai, Tamil Nadu 600057, India",13.2089079,80.3163648,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600057,Chennai,India,Tamil Nadu,,,,,
"M6. Manali Police station,chennai tamil nadu","Ok, partial match","Jalakanda, 5777+FC5, Mariyamman Koil St, Vimlapuram, Chinnasekkadu, Manali, Chennai, Tamil Nadu 600051, India",13.1636495,80.2636135,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Mariyamman Koil Street,600051,Chennai,India,Tamil Nadu,,,,,
"M7. Manali New Town Police station,chennai tamil nadu","Ok, partial match","Manali New Twon, 674G+MCP, Manali New Town, Chennai, Tamil Nadu 600103, India",13.2067223,80.2760683,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600103,Chennai,India,Tamil Nadu,,,,,
"M8. Sathangadu Police station,chennai tamil nadu","Ok, partial match","M8, police station Sattangadu, Tiruvottiyur, Chennai, Tamil Nadu 600068, India",13.1750496,80.2854452,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600068,Chennai,India,Tamil Nadu,,,57GP+25,"57GP+25 Chennai, Tamil Nadu, India",7M5257GP+25
"P1. Pulianthope Police station,chennai tamil nadu","Ok, partial match","37X5+XXW, Pattalam, Choolai, Chennai, Tamil Nadu 600012, India",13.0999823,80.2599392,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600012,Chennai,India,Tamil Nadu,,,,,
"P2. Otteri Police station,chennai tamil nadu","Ok, partial match","4722+4JJ, Cooks Rd, Puthuvazhama Nagar, Jamalia, Chennai, Tamil Nadu 600012, India",13.1003396,80.2515167,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Cooks Road,600012,Chennai,India,Tamil Nadu,,,,,
"P4. Basin Bridge Police station,chennai tamil nadu","Ok, partial match","Police Station P4, Asirvadapuram, Pulianthope, Chennai, Tamil Nadu 600012, India",13.0952415,80.2662223,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600012,Chennai,India,Tamil Nadu,,,37W8+3F,"37W8+3F Chennai, Tamil Nadu, India",7M5237W8+3F
"P5. MKB Nagar Police station,chennai tamil nadu","Ok, partial match","47F6+6HR, Central Ave, MKB Nagar, Mahakavi Bharathiyar Nagar Central, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039, India",13.1231016,80.2613922,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Central Avenue,600039,Chennai,India,Tamil Nadu,,,,,
"P6. Kodungaiyur Police station,chennai tamil nadu","Ok, partial match","47J4+JRR, Sidco Main Rd, Kodungaiyur (East), Kaviarasu Kannadhasan Nagar, Kodungaiyur, Chennai, Tamil Nadu 600118, India",13.1316114,80.2570068,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Sidco Main Road,600118,Chennai,India,Tamil Nadu,,,,,
"P3. Vyasarpadi Police station,chennai tamil nadu","Ok, partial match","4768+H5H, Sathyamoorthy Nagar Main Rd, Block B, Kalyanapuram, Vyasarpadi, Chennai, Tamil Nadu 600039, India",13.1114447,80.2654901,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Sathyamoorthy Nagar Main Road,600039,Chennai,India,Tamil Nadu,,,,,
"K1. Sembium Police station,chennai tamil nadu","Ok, partial match","465V+7JW, Perambur High Rd, Bunder Garden, Perambur, Chennai, Tamil Nadu 600011, India",13.108245,80.2440929,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Perambur High Road,600011,Chennai,India,Tamil Nadu,,,,,
"K5. Peravallur Police station,chennai tamil nadu","Ok, partial match","466G+GFW, Siva Elango Salai, Periyar Nagar West, Perambur, Chennai, Tamil Nadu 600082, India",13.1113554,80.2262112,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Siva Elango Salai,600082,Chennai,India,Tamil Nadu,,,,,
"K9. Thiru .Vi.Ka. Nagar Police station,chennai tamil nadu","Ok, partial match","46CM+9JP, Tiru Vi Ka Nagar, Perambur, Chennai, Tamil Nadu 600011, India",13.1209646,80.2340783,"establishment, point_of_interest",GEOMETRIC_CENTER,,,600011,Chennai,India,Tamil Nadu,,,,,
"K3. Aminjikarai Police station,chennai tamil nadu","Ok, partial match","3rd Avenue, Shenoy Nagar, Anna Arch Rd, NSK Nagar, Arumbakkam, Chennai, Tamil Nadu 600106, India",13.0812048,80.2179792,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Anna Arch Road,600106,Chennai,India,Tamil Nadu,,,36J9+F5,"36J9+F5 Chennai, Tamil Nadu, India",7M5236J9+F5
"K4. Anna Nagar Police station,chennai tamil nadu","Ok, partial match","36V9+353, 6th Ave, Anna Nagar, Annanagar East, Chennai, Tamil Nadu 600040, India",13.0926344,80.217931,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,6th Avenue,600040,Chennai,India,Tamil Nadu,,,,,
"K8. Arumbakkam Police station,chennai tamil nadu","Ok, partial match","MMDA Colony, Water Tank Rd, MMDA Colony, Balavinayagar Nagar, Chennai, Tamil Nadu 600106, India",13.0687214,80.213805,"establishment, point_of_interest, police",ROOFTOP,MMDA Colony,Water Tank Road,600106,Chennai,India,Tamil Nadu,,,3697+FG,"3697+FG Chennai, Tamil Nadu, India",7M523697+FG
"V3. J.J. Nagar Police station,chennai tamil nadu","Ok, partial match","35GG+J46, Valaiyapathi Salai, J J Nagar, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0765379,80.1752674,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Valaiyapathi Salai,600040,Chennai,India,Tamil Nadu,,,,,
"V5. Thirumangalam Police station,chennai tamil nadu","Ok, partial match","3-4, School Rd, D-Sector, Anna Nagar West Extension, Chennai, Tamil Nadu 600101, India",13.0932503,80.1976178,"establishment, point_of_interest, police",ROOFTOP,03-Apr,School Road,600101,Chennai,India,Tamil Nadu,,,35VX+82,"35VX+82 Chennai, Tamil Nadu, India",7M5235VX+82
"V7. Nolambur Police station,chennai tamil nadu","Ok, partial match","35GG+J46, Mogappair Eri Scheme, Mogappair East, Chennai, Tamil Nadu 600037, India",13.0765424,80.1752655,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600037,Chennai,India,Tamil Nadu,,,,,
"K10. Koyambedu Police station,chennai tamil nadu","Ok, partial match","Koyembedu Market E Road, 3692+V44, Kaliamman Koil St, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0696488,80.200326,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Kaliamman Koil Street,600107,Chennai,India,Tamil Nadu,,,,,
"T4. Maduravoyal Police station,chennai tamil nadu","Ok, partial match","Koyambedu, 358G+VMM, Poonamallee High Rd, Mulakalacheru, Vishwas Nagar, Venkateswara NAgar, Maduravoyal, Chennai, Tamil Nadu 600095, India",13.0672188,80.1766654,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Poonamallee High Road,600095,Chennai,India,Tamil Nadu,,,,,
"CMBT Police station,chennai tamil nadu","Ok, partial match","Puratchi Thalaivar Dr. M.G.R. Bus Terminus, CMBT Passenger Way, Koyambedu, Chennai, Tamil Nadu 600107, India",13.0674395,80.2054888,"bus_station, establishment, point_of_interest, transit_station",GEOMETRIC_CENTER,,CMBT Passenger Way,600107,Chennai,India,Tamil Nadu,,,3684+X5,"3684+X5 Chennai, Tamil Nadu, India",7M523684+X5
"V1. Villivakkam Police station,chennai tamil nadu","Ok, partial match","202, Chennai Tiruvallur High Rd, Konnur, Chennai, Tamil Nadu 600049, India",13.1035679,80.20631,"establishment, point_of_interest, police",ROOFTOP,202,Chennai Tiruvallur High Road,600049,Chennai,India,Tamil Nadu,,,4634+CG,"4634+CG Chennai, Tamil Nadu, India",7M524634+CG
"V4. Rajamangalam Police station,chennai tamil nadu","Ok, partial match","46C4+V4G, 2nd Main Rd, Thillai Nagar, Mahavir Nagar, Kolathur, Chennai, Tamil Nadu 600099, India",13.1221807,80.2053371,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,2nd Main Road,600099,Chennai,India,Tamil Nadu,,,,,
"V6. Kolathur Police station,chennai tamil nadu","Ok, partial match","4667+3FG, 3rd St, Vasantham Nagar, Kumaran Nagar, Kolathur, Chennai, Tamil Nadu 600082, India",13.1101837,80.2137063,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,3rd Street,600082,Chennai,India,Tamil Nadu,,,,,
"T1. Ambattur Police station,chennai tamil nadu","Ok, partial match","4543+W27, Duraisami St, Kamarajapuram, Ambattur, Chennai, Tamil Nadu 600053, India",13.1072865,80.1525393,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Duraisami Street,600053,Chennai,India,Tamil Nadu,,,,,
"T2. Ambattur Estate Police station,chennai tamil nadu","Ok, partial match","Sai Nagar, Ambattur Industrial Estate, 35W7+5GP, Sai Nagar, Ambattur Industrial Estate, Chennai, Tamil Nadu 600058, India",13.0954687,80.1638406,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600058,Chennai,India,Tamil Nadu,,,,,
"T3. Korattur Police station,chennai tamil nadu","Ok, partial match","454P+VMQ, E Ave Rd, TNHB Colony, TVS Industries, Korattur, Chennai, Tamil Nadu 600080, India",13.1072152,80.1867452,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,East Avenue Road,600080,Chennai,India,Tamil Nadu,,,,,
"T6. Avadi Police station,chennai tamil nadu","Ok, partial match","206, Nehru Bazar Rd, Nehru Bazaar, Vivekananda Nagar, TNHB Mig V Block, Avadi, Tamil Nadu 600054, India",13.1172786,80.1027371,"establishment, point_of_interest, police",ROOFTOP,206,Nehru Bazar Road,600054,Avadi,India,Tamil Nadu,,,4483+W3,"4483+W3 Avadi, Tamil Nadu, India",7M524483+W3
"T7. Tank Factory Police station,chennai tamil nadu","Ok, partial match","5453+7C4, HVF Tank Rd, Avadi, New Vellanur, Tamil Nadu 600154, India",13.1581305,80.1035899,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,HVF Tank Road,600154,Avadi,India,Tamil Nadu,,,,,
"T10. Thirumullaivoyal Police station,chennai tamil nadu","Ok, partial match","44F8+QPM, Chennai - Tiruvallur High Rd, Evr Nagammai Nagar, Cholambedu, Avadi, Tamil Nadu 600109, India",13.1244534,80.1168068,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Chennai - Tiruvallur High Road,600109,Avadi,India,Tamil Nadu,,,,,
"T11. Thirunindravur Police station,chennai tamil nadu","Ok, partial match","42JP+GGP, Thiruninravur, Nadukuthagai, Tamil Nadu 602024, India",13.1313291,80.0363218,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,602024,Nadukuthagai,India,Tamil Nadu,,,,,
"T8. Muthapudupet Police station,chennai tamil nadu",Ok,"42WR+MM8, Main Road, Palavedu Pettai, Palavedu, Tamil Nadu 600055, India",13.146665,80.0416952,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Main Road,600055,Palavedu Pettai,India,Tamil Nadu,,,,,
"T9. Pattabiram Police station,chennai tamil nadu","Ok, partial match","43C7+R3V, Pattabiram, Tamil Nadu 600072, India",13.1221192,80.0626862,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600072,Pattabiram,India,Tamil Nadu,,,,,
"T12. Poonamallee Police station,chennai tamil nadu","Ok, partial match","600123, Ettima Nagar, Poonamallee, Chennai, Tamil Nadu 600123, India",13.0502659,80.0909275,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600123,Chennai,India,Tamil Nadu,,,332R+49,"332R+49 Chennai, Tamil Nadu, India",7M52332R+49
"T16. Nasaratpet Police station,chennai tamil nadu","Ok, partial match","Chennai, Tamil Nadu, India",13.0826802,80.2707184,"locality, political",APPROXIMATE,,,,Chennai,India,Tamil Nadu,,,,,
"T5. Thiruverkadu Police station,chennai tamil nadu","Ok, partial match","2, Devi Nagar 2nd St, Karumariamman Nagar, MGR Nagar, Thiruverkadu, Chennai, Tamil Nadu 600077, India",13.0739552,80.1253609,"establishment, point_of_interest, police",ROOFTOP,2,Devi Nagar 2nd Street,600077,Chennai,India,Tamil Nadu,,,34FG+H4,"34FG+H4 Chennai, Tamil Nadu, India",7M5234FG+H4
"T15. SRMC Police station,chennai tamil nadu","2 found, use single geocode.","Tower-18a, PRESTIGE BELLA VISTA, Prestige Bella Vista Rd, Moovendhar Nagar, Iyyappanthangal, Chennai, Tamil Nadu 600056, India",13.0414393,80.1331805,"establishment, point_of_interest, police",ROOFTOP,,Prestige Bella Vista Road,600056,Chennai,India,Tamil Nadu,,,24RM+H7,"24RM+H7 Chennai, Tamil Nadu, India",7M5224RM+H7
"T14. Mangadu Police station,chennai tamil nadu","Ok, partial match","24P7+4RG, 4th St, Sri Chakra Nagar, Kamatchiamman Nagar, Mangadu, Chennai, Tamil Nadu 600122, India",13.0353183,80.1145844,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,4th Street,600122,Chennai,India,Tamil Nadu,,,,,
